title,time,author_id,sentiment
"Earnings Week Ahead: NVIDIA, Zoom, Baidu, HPQ, Best Buy and more",2023-11-19,32439325,Neutral
"Catalyst watch: Nvidia earnings, Broadcom-VMware drama, auto show buzz and holiday sales blitz",2023-11-17,954720,Neutral
Dropbox teams up with Nvidia to provide custom generative AI to customers,2023-11-17,54324280,Bullish
The 12 least expected market outcomes of '24 - and how to trade them,2023-11-17,51784941,Neutral
Goldman Sachs channels Taylor Swift for its 2024 stock market forecast,2023-11-15,51784941,Neutral
"Coatue Management trims stakes in five Magnificent 7 members, adds Palantir, Shopify",2023-11-15,56228617,Bearish
"Tudor Investment opens new Seagen, AbbVie bets; exits Immersion, Lennox",2023-11-15,54370868,Neutral
"Investing in quality, growth and beaten-down cyclicals is the key to 2024’s S&P 500",2023-11-15,59269293,Neutral
"Daniel Loeb's Third Point takes new stakes in Meta, U.S. Steel, exits Alibaba",2023-11-15,49447318,Neutral
Nvidia keeps chugging along as Citi maintains buy heading into Q3,2023-11-15,55407719,Bullish
"Whale Rock exits Netflix, boosts Alphabet stake in Q3",2023-11-14,52996117,Neutral
"Corvex Management adds Endeavor Group, exits Catalent",2023-11-14,52996117,Neutral
US chipmaking export curbs failing: Congressional report,2023-11-14,59008794,Bearish
Nvidia's H200 GPU 'emphasizes' how important memory is for AI: Wells Fargo,2023-11-14,55407719,Bullish
Oppenheimer favors tech amid upbeat prediction for S&P 500,2023-11-14,53367831,Neutral
Nvidia gains as it updates Hopper with new H200 model,2023-11-13,55407719,Bullish
"Nvidia may see more AI upside, Android market 'modestly' better, Barclays says",2023-11-13,55407719,Bullish
China's Yangtze Memory files patent infringement suit against Micron - report,2023-11-13,54324280,Bearish
Why did Applied Materials stock go up today? Thank Taiwan Semiconductor,2023-11-10,55407719,Neutral
"AMD, Broadcom, Qualcomm among biggest chip gainers as sector ends week strong",2023-11-10,55407719,Bearish
China delay in approving Broadcom's purchase of VMware 'clearly political' - report,2023-11-10,52996117,Bearish
A Magnificent 7 stock crash would be one for the history books,2023-11-10,51784941,Bearish
Chinese AI start-up stockpiled Nvidia chips before US curbs kicked in - report,2023-11-10,54324280,Bearish
Semiconductors mixed amid weak Arm outlook,2023-11-09,55407719,Bearish
Big tech stocks should continue to perform better than the whole S&P 500 into 2024,2023-11-09,59269293,Bullish
Nvidia plans to announce 3 new chips for Chinese market - report,2023-11-09,54324280,Bullish
Magnificent 7 stock ownership hits 'critical mass',2023-11-09,51784941,Bullish
Microsoft stock might see more upward trajectory thanks to AI,2023-11-08,59269293,Neutral
"Baidu ordered AI chips from Huawei, moving away from Nvidia amid US curbs - report",2023-11-07,54324280,Bearish
Small caps could see a bounce next year,2023-11-06,59269293,Neutral
Top 7 tech stocks with even more growth opportunity,2023-11-06,59269293,Bullish
Support holds for 'most important stock in the world' - Evercore ISI,2023-11-06,53367831,Bullish
"Korean tech giant switching Nvidia AI chips for Intel 'doable,' albeit limited: Bernstein",2023-11-06,55407719,Bearish
"AMD, Microchip, Monolithic power chip stocks higher to end week",2023-11-03,55407719,Neutral
China to welcome Micron's expansion as relations with US ease - report,2023-11-03,54324280,Neutral
Qualcomm leads chips higher as sector awaits earnings bonanza,2023-11-02,55407719,Neutral
Super Micro erases gains despite strong outlook,2023-11-02,55407719,Bearish
US lawmakers urge Biden administration for plans on China's use of open-source chip tech - report,2023-11-02,54324280,Neutral
Goldman Sachs' 25 'conviction list' stocks to buy,2023-11-01,59269293,Bullish
Nvidia broke key support and BTIG says the stock can fall another 10%,2023-11-01,53367831,Bearish
AMD's weak guidance gets pass as Wall Street looks to AI sales ramp,2023-11-01,55407719,Bearish
"Nvidia, Micron, Broadcom stay among UBS's top chip picks as September sales jump",2023-11-01,55407719,Bullish
Semiconductor stocks in focus as Biden is set to meet with Xi Jinping,2023-11-01,53367831,Neutral
AMD slips as gaming weakness hinders Q4 guidance,2023-10-31,55407719,Bearish
Wolfe Research ‘Cracks are starting to show’ for Magnificent 7,2023-10-31,53367831,Bearish
Nvidia falls below $1T valuation on China worries; chips await AMD results,2023-10-31,55407719,Bearish
"Arista surges after Q3 beat, Morgan Stanley upgrade on 'ethernet eventuality'",2023-10-31,54324280,Neutral
Trick or Treat: S&P 500 top and bottom YTD performers,2023-10-31,53367831,Neutral
U.S. chip curbs put Nvidia's $5B of China orders at risk - report,2023-10-31,55510976,Bearish
US President Biden issues executive order to manage risks from AI,2023-10-30,54324280,Neutral
G7 economies to agree on AI guiding principles for companies - report,2023-10-30,54324280,Neutral
"AMD likely to bask in Intel's glow too, Piper Sandler says",2023-10-29,55407719,Neutral
"DataTrek: Lofty valuations aren't limited to Big Tech; cites Lilly, Mastercard",2023-10-27,53367831,Bearish
A hiccup or two in the big seven won’t change the trajectory of their earnings,2023-10-26,59269293,Neutral
California’s Cruise incident could have bigger ramifications for the self-driving vehicle industry.,2023-10-25,59269293,Neutral
"AI startup CentML gets $27M in funding from Nvidia, Google - reports",2023-10-25,52996117,Bullish
"Arm, Taiwan Semi, Nvidia among possible winners in new chip development",2023-10-24,59008794,Bullish
ServiceNow expected to post strong Q3 results as it benefits from AI push,2023-10-24,59268336,Neutral
Nvidia says China curb effective 'immediately' after getting update from Biden,2023-10-24,55407719,Bearish
"Nvidia, AMD said make chips for Microsoft amid Intel dominance",2023-10-23,59008794,Bullish
"AI will be a multi-year phenomenon, transforming all aspects of business",2023-10-23,59269293,Bullish
Which 'Magnificent 7' stock should be your top portfolio holding?,2023-10-23,27427253,Neutral
"Nvidia, AMD, ASML may suffer long-term effects of US China regulations",2023-10-21,59008794,Bearish
Oracle tumbles after AI event; Wall Street comes to defense,2023-10-20,55407719,Bearish
"AMD, Qualcomm, Synaptics have 'favorable' risk-reward into earnings: KeyBanc",2023-10-20,55407719,Neutral
Why did Supermicro stock fall today? Rate fears overshadow new GPU system,2023-10-19,55407719,Bearish
Taiwan Semiconductor gets positive reinforcement from Wall Street after Q3,2023-10-19,59008794,Neutral
"TSM stock rises on Q4 outlook, US extension for China exports; plans new plant in Germany",2023-10-19,54324280,Neutral
"Biggest stock movers today: Morgan Stanley, Spirit AeroSystems, United Airlines and more",2023-10-18,32439325,Neutral
"Google Cloud, Infosys ink pact to provide enterprises AI solutions",2023-10-18,54324280,Neutral
"Nvidia, AMD, Intel continue slide as Wall Street digests added China export rules",2023-10-18,55407719,Bearish
China's President Xi Jinping unveils global AI governance initiative amid US chip curbs,2023-10-18,54324280,Neutral
ASML trades lower after warning of flat 2024 sales,2023-10-18,54324280,Bearish
"Foxconn, Nvidia tie up to build AI factories",2023-10-18,55510976,Bullish
VMware falls amid report about China's review of Broadcom deal (update),2023-10-17,52996117,Neutral
"Stop investing in Chinese stocks, said Hayman Capital Management founder",2023-10-17,59269293,Bearish
"Nvidia, other semiconductor stocks pare losses amid new China export rules",2023-10-17,59008794,Neutral
Trillion-dollar tech titans have added additional $2.4T in market cap in past year,2023-10-17,53367831,Bullish
Nvidia slumps on new US-China chip curbs; says no 'meaningful impact' in near-term,2023-10-17,54324280,Bearish
Taiwan Semiconductor drops plan for northern Taiwan site for chip facility after protests - report,2023-10-17,54324280,Bearish
Hennessy Funds is bullish on stocks - these in particular,2023-10-16,59269293,Neutral
Nvidia is speeding up its cadence. Why that could be bad news for rivals.,2023-10-15,55407719,Bullish
Taiwan Semi may start advanced production at second Japanese plant; country awaiting waiver extension,2023-10-12,55407719,Bullish
Chinese President calls for boosting efforts in core technologies - report,2023-10-12,54324280,Neutral
Most crowded longs and shorts going into earnings season,2023-10-12,51784941,Neutral
OpenAI plans to unveil new updates with potentially lower costs to attract developers - report,2023-10-12,54324280,Neutral
"AI's economic impact could be $15.7T by the end of the decade, BofA says",2023-10-11,55407719,Bullish
Amy Wu Silverman: VIX index continues to be muted amid geopolitical conflict,2023-10-11,59269293,Neutral
Taiwan Semiconductor may get US waiver for chip equipment to China - report,2023-10-11,54324280,Neutral
Nvidia may benefit as Taiwan September gaming data seen 'above' expectations: Citi,2023-10-11,55407719,Bullish
Southeast Asia mulls more business-friendly approach to AI rules - report,2023-10-11,54324280,Neutral
J.P. Morgan’s Stephen Parker: New highs for stocks by mid-2024,2023-10-10,59269293,Neutral
"ON, Analog Devices lead chips higher as sector gets set for Q3 earnings",2023-10-10,55407719,Bullish
"Microsoft leads the AI race, according to Wedbush",2023-10-10,59008794,Neutral
Bank of England warns on U.S. tech stock valuations,2023-10-10,51784941,Bearish
"Nvidia, Broadcom, Arm, others seen as best places in semis going into Q3: BofA",2023-10-10,55407719,Bullish
"Nvidia still tops at Citi but Qorvo, Skyworks get rating cuts on China smartphone substitution risk",2023-10-10,54324280,Bearish
Morgan Stanley: The S&P 500 technicals take center stage in a bearish backdrop,2023-10-09,59269293,Neutral
Arm Holdings flat even as Wall Street banks start coverage on British chip firm,2023-10-09,55407719,Neutral
Investor Movement Index slips for first time in five months,2023-10-09,54370868,Neutral
"US gives waiver to Samsung, SK Hynix for chip equipment to China - report",2023-10-09,54324280,Bearish
China plans to boost computing power amid AI race to help local firms,2023-10-09,54324280,Neutral
EU official sees convergence with Japan in AI arena- report,2023-10-09,54324280,Neutral
Microsoft said to debut AI chip next month in an effort to cut costs,2023-10-06,55407719,Bearish
"Nvidia, Marvell among those likely facing additional China export restrictions",2023-10-06,59008794,Bearish
OpenAI mulls making own AI chips - report,2023-10-06,54324280,Neutral
Taiwan Semiconductor's September revenue falls ~13% Y/Y; Q3 sales dip less than expected,2023-10-06,54324280,Bearish
AMD data center revenue outlook dropped at Baird,2023-10-05,59008794,Bearish
Correction could be coming for mega caps - Wells Fargo,2023-10-03,53367831,Bearish
EU publishes vital tech list amid worries over wider state aid use,2023-10-03,54324280,Neutral
"Nvidia, Monolithic Power, Broadcom, Marvell top chip stocks at Oppenheimer",2023-10-03,55407719,Bullish
Nvidia said to consider further push into cloud services space,2023-10-03,55407719,Bullish
"Nvidia, AMD, other semis in focus as KeyBanc checks indicate mixed picture",2023-10-03,55407719,Neutral
Biden Administration said to give China heads up on chip export curb expansion,2023-10-02,55407719,Bearish
"Nvidia jumps as Goldman adds to Conviction List, but chips mixed to start the week",2023-10-02,55407719,Bullish
Samsung picked to build chips from Canadian AI startup,2023-10-02,55407719,Neutral
Citi highlights Info Tech as an Overweight sector heading into Q4,2023-10-02,53367831,Neutral
"Nvidia to supply the shovels in AI gold rush, Goldman says; adds to conviction list",2023-10-02,59008794,Bullish
"Nvidia rises, EU says no 'formal investigation' into AI after French raid",2023-10-02,55407719,Bullish
David Tepper: You’re in the QT era,2023-09-30,59269293,Neutral
Semiconductors slip even as Wall Street debates Micron spending plans,2023-09-29,55407719,Bearish
Nvidia offices in France raided over suspected anti-competition practices - report,2023-09-29,52365730,Bearish
China's trade council requests US to reconsider tech investment ban - report,2023-09-29,54324280,Bearish
AMD leads semiconductor gains as sector bucks Micron worries,2023-09-28,55407719,Bearish
Micron falls as Wall Street debates mixed Q1 guidance,2023-09-28,55407719,Bearish
CoreWeave nearing stake sale that will value company at $7B - Bloomberg,2023-09-27,52996117,Neutral
"Cloudflare rises as it unveils partnerships with Meta, Nvidia, more",2023-09-27,55407719,Bullish
"Microsoft, Infosys team up to provide enterprises AI solutions",2023-09-26,54324280,Neutral
Getty launches 'commercially safe' generative AI tool for images,2023-09-26,54324280,Neutral
Ark Invest: UiPath and Twilio over Nvidia as stocks to consider,2023-09-25,59269293,Bearish
Wolfe Research: Utilities remain the strongest bet for growth and EPS,2023-09-25,59269293,Neutral
Taiwan Semiconductor reportedly moves up packaging orders for AI demand,2023-09-25,55407719,Bullish
Citi Research: 20 stocks on pullback to consider for long-term investing,2023-09-25,59269293,Neutral
"Nvidia drops over GPU concerns is a 'buying opportunity,' Morgan Stanley says",2023-09-25,55407719,Bullish
Nvidia generating $10B in DGX cloud revenue 'not difficult to envision:' UBS,2023-09-25,55407719,Bullish
Amazon to invest up to $4B in AI startup Anthropic,2023-09-25,54324280,Neutral
US finalizes rules on China curbs on companies getting chip funding,2023-09-22,54324280,Bearish
Google says 'no change' to Broadcom relationship despite report (updated),2023-09-21,55407719,Neutral
Semiconductors sink as Arm breaks below IPO price,2023-09-21,55407719,Bearish
Microsoft product event 2023: New Copilot and Surface latops,2023-09-21,55407719,Neutral
AMD rises as Wells Fargo says MI300 launch 'increasing confidence' for 2024,2023-09-20,55407719,Bearish
Intel Innovation event draws ambiguous reaction from Wall Street,2023-09-20,55407719,Neutral
"Nvidia, Infosys expand team up to boost productivity with generative AI",2023-09-20,54324280,Bullish
"Amazon, Disney, Boeing boosted in Wells Fargo Signature Picks portfolio",2023-09-20,51784941,Neutral
Nvidia GPUs tapped for Chan Zuckerberg project to use AI for disease research,2023-09-19,53161691,Bullish
"Super Micro rises as Barclays starts coverage, says 'not too late' to hop on AI train",2023-09-19,55407719,Bullish
"Nvidia, AMD GPUs see higher prices, lower volumes in August: UBS",2023-09-19,55407719,Bearish
"Taiwan Semiconductor, Arizona discuss adding advanced chip packaging capacity - report",2023-09-19,54324280,Neutral
Chips ends up mixed as Arm slips with Bernstein starting at underperform,2023-09-18,55407719,Bearish
"UK antitrust agency lays out AI principles; will seek input from Microsoft, others",2023-09-18,55407719,Neutral
Taiwan Semiconductor tells suppliers to delay chip equipment deliveries - report,2023-09-15,54324280,Bearish
Databricks raises over $500M from investors including Nvidia at $43B valuation,2023-09-14,56228617,Bullish
"Arm Holdings prices IPO at $51 a share, top of range (update)",2023-09-13,59008794,Bullish
"Robotic and AI equity performance is rising, creating opportunities for productivity growth",2023-09-13,59269293,Bullish
Arm said to be near enough support to price IPO at top of range (update),2023-09-11,55407719,Bullish
"Microsoft, Nvidia, others to benefit from U.S., Vietnam partnership",2023-09-11,55407719,Bullish
"Catalyst Watch: Arm IPO, Apple event, and Senate AI Forum with Musk, Zuckerberg, and Gates",2023-09-08,954720,Neutral
"Microsoft, Nvidia, Meta among companies attending Congressional hearings on AI",2023-09-08,55407719,Neutral
Reliance and Nvidia partner to advance AI in India,2023-09-08,59062064,Bullish
Taiwan Semiconductor says August revenue climbs over July levels,2023-09-08,55407719,Bullish
Asensus Surgical jumps on tech deal with NVIDIA,2023-09-07,52867120,Bullish
Apple slips as China reportedly orders government agencies to stop using iPhones,2023-09-06,55407719,Bearish
"Taiwan Semi Chairman gives updates on ARM investment, Arizona, German plants",2023-09-06,55407719,Neutral
"Arm updates IPO filing, estimates pricing between $47 and $51 per share",2023-09-05,55407719,Neutral
"Oracle rises as Barclays upgrades, citing 'multi-year growth story'",2023-09-05,55407719,Neutral
AI to represent 11% of healthcare budgets in 2024 - Morgan Stanley,2023-09-04,52867120,Bullish
ARM is set to go public soon. The hype may not be warranted.,2023-09-02,55407719,Bearish
Google DeepMind co-founder says US should enforce AI standards for ethical use,2023-09-01,55407719,Neutral
"Intel guidance, foundry comments 'clearly a positive,' but company still at risk: Citi",2023-09-01,55407719,Bearish
Samsung stock rises on chip supply deal with Nvidia for use in AI - report,2023-09-01,54324280,Bullish
Biden Administration says it 'has not blocked' chip sales to Middle East,2023-08-31,55407719,Neutral
"US expands Nvidia, AMD AI chip export curbs to some Middle East countries",2023-08-31,54324280,Bearish
Nvidia-backed startup CoreWeave said to raise money valuing firm up to $8B,2023-08-30,55407719,Bullish
"Google 'flexing AI muscle' at Cloud Next with partnerships, updates: analysts",2023-08-30,55407719,Bullish
Huawei's new Mate 60 Pro phone drives Chinese chip stocks rally amid 5G speculation,2023-08-30,54324280,Neutral
JOLTS shows megacaps are still mega-dependent on the Fed,2023-08-30,51784941,Neutral
"Google Cloud Next announcements: partnerships, AI tools, chips and more",2023-08-29,55407719,Neutral
"Wedbush thinks tech stocks will rally into year end, led by Amazon, Alphabet, Meta",2023-08-29,55407719,Bullish
"Meta, Google, others said to meet with Sen. Schumer on AI next month",2023-08-28,55407719,Neutral
"AMD, Intel, others may be at risk from analog, non-AI data center weakness: Citi",2023-08-28,55407719,Bearish
"Nvidia rises as PhilipCapital upgrades, citing 'market monopoly'",2023-08-28,55407719,Bullish
Macom gets upgrade at Benchmark on RF business acquisition from Wolfspeed,2023-08-28,54324280,Neutral
Hedge and mutual funds rotate from tech; see the stocks they love and shun,2023-08-28,51784941,Neutral
"Google's AI 'counteroffensive taking shape,' Baird says",2023-08-25,55407719,Neutral
"Marvell slips as Wall Street weighs AI strength, legacy weakness",2023-08-25,55407719,Bearish
AI stocks sink as Nvidia-led euphoria fades,2023-08-24,55407719,Bearish
"Biggest stock movers today: NVIDIA, Splunk, Groupon, Spirit AeroSystems and more",2023-08-24,32439325,Neutral
Nvidia rises as Wall Street praises 'guidance for the ages',2023-08-24,55407719,Bullish
